se réveiller;awake;awoke;awoken
porter, supporter;bear;bore;borne
être;be;was/were;been
souffler;blow;blew;blown
se nourrir;breed;bred;bred
jeter;cast;cast;cast
ramper;creep;crept;crept
interdire;forbid;forbade;forbidden
prévoir;foresee;foresaw;foreseen
pardonner;forgive;forgave;forgiven
pendre, suspendre;hang;hung;hung
poser à plat;lay;laid;laid
mener;lead;led;led
appuyer;lean;leant;leant
sauter, bondir;leap;leapt;leapt
être étendu;lie;lay;lain
allumer;light;lit;lit
vaincre;overcome;overcame;overcome
chercher;seek;sought;sought
sombrer;sink;sank;sunk
etaler;spread;spread;spread
jaillir;spring;sprang;sprung
frapper;strike;struck;struck
jurer;swear;swore;sworn
balayer;sweep;swept;swept
( se ) balancer;swing;swung;swung
subir;undergo;underwent;undergone
défaire;undo;undid;undone
renverser;upset;upset;upset
