demeurer;to abide;abode;abode
s'élever, survenir;to arise;arose;arisen
(se) réveiller;to awake;awoke;awoken
supporter;to bear;bore;borne
battre;to beat;beat;beaten
devenir;to become;became;become
commencer;to begin;began;begun
(se) courber;to bend;bent;bent
parier;to bet;bet;bet
offrir (un prix);to bid;bid;bid
lier, relier;to bind;bound;bound
mordre;to bite;bit;bitten
saigner;to bleed;bled;bled
souffler;to blow;blew;blown
casser;to break;broke;broken
élever (du bétail);to breed;bred;bred
apporter;to bring;brought;brought
construire;to build;built;built
brûler;to burn;burnt;burnt
éclater;to burst;burst;burst
acheter;to buy;bought;bought
jeter, distribuer les rôles de;to cast;cast;cast
attraper;to catch;caught;caught
choisir;to choose;chose;chosen
s'accrocher;to cling;clung;clung
venir;to come;came;come
coûter;to cost;cost;cost
ramper;to creep;crept;crept
couper;to cut;cut;cut
distribuer;to deal;dealt;dealt
creuser;to dig;dug;dug
faire;to do;did;done
dessiner;to draw;drew;drawn
rêver;to dream;dreamt;dreamt
boire;to drink;drank;drunk
conduire;to drive;drove;driven
habiter;to dwell;dwelt;dwelt
manger;to eat;ate;eaten
tomber;to fall;fell;fallen
nourrir;to feed;fed;fed
sentir, éprouver;to feel;felt;felt
combattre;to fight;fought;fought
trouver;to find;found;found
s'enfuir;to flee;fled;fled
jeter violemment;to fling;flung;flung
voler;to fly;flew;flown
interdire;to forbid;forbade;forbidden
oublier;to forget;forgot;forgotten
pardonner;to forgive;forgave;forgiven
geler;to freeze;froze;frozen
obtenir;to get;got;got
donner;to give;gave;given
aller;to go;went;gone
moudre;to grind;ground;ground
grandir;to grow;grew;grown
pendre, accrocher;to hang;hung;hung
avoir;to have;had;had
entendre;to hear;heard;heard
(se) cacher;to hide;hid;hidden
frapper, atteindre;to hit;hit;hit
tenir;to hold;held;held
blesser;to hurt;hurt;hurt
garder;to keep;kept;kept
s'agenouiller;to kneel;knelt;knelt
savoir, connaître;to know;knew;known
poser à plat;to lay;laid;laid
mener;to lead;led;led
s'appuyer;to lean;leant;leant
sauter;to leap;leapt;leapt
apprendre;to learn;learnt;learnt
laisser, quitter;to leave;left;left
prêter;to lend;lent;lent
permettre, louer;to let;let;let
être étendu;to lie;lay;lain
allumer;to light;lit;lit
perdre;to lose;lost;lost
faire, fabriquer;to make;made;made
signifier;to mean;meant;meant
(se) rencontrer;to meet;met;met
payer;to pay;paid;paid
mettre;to put;put;put
cesser (de);to quit;quit;quit
lire;to read;read;read
débarrasser;to rid;rid;rid
chevaucher;to ride;rode;ridden
sonner;to ring;rang;rung
s'élever, se lever;to rise;rose;risen
courir;to run;ran;run
scier;to saw;sawed;sawn
dire;to say;said;said
voir;to see;saw;seen
chercher;to seek;sought;sought
vendre;to sell;sold;sold
envoyer;to send;sent;sent
fixer;to set;set;set
coudre;to sew;sewed;sewn
secouer;to shake;shook;shaken
tondre (des moutons);to shear;sheared;shorn
verser (des larmes);to shed;shed;shed
briller;to shine;shone;shone
ferrer, chausser;to shoe;shod;shod
tirer;to shoot;shot;shot
montrer;to show;showed;shown
rétrécir;to shrink;shrank;shrunk
fermer;to shut;shut;shut
chanter;to sing;sang;sung
couler;to sink;sank;sunk
être assis;to sit;sat;sat
dormir;to sleep;slept;slept
glisser;to slide;slid;slid
lancer (avec force);to sling;slung;slung
aller furtivement;to slink;slunk;slunk
fendre, inciser;to slit;slit;slit
sentir (odorat);to smell;smelt;smelt
semer;to sow;sowed;sown
parler;to speak;spoke;spoken
aller à toute vitesse;to speed;sped;sped
épeler;to spell;spelt;spelt
dépenser;to spend;spent;spent
renverser (un liquide);to spill;spilt;spilt
cracher;to spit;spat;spat
fendre;to split;split;split
gâcher, gâter;to spoil;spoilt;spoilt
répandre;to spread;spread;spread
jaillir, bondir;to spring;sprang;sprung
être debout;to stand;stood;stood
voler, dérober;to steal;stole;stolen
coller;to stick;stuck;stuck
piquer;to sting;stung;stung
puer;to stink;stank;stunk
marcher à grands pas;to stride;strode;stridden
frapper;to strike;struck;struck
enfiler, tendre (une corde);to string;strung;strung
s'efforcer;to strive;strove;striven
jurer;to swear;swore;sworn
balayer;to sweep;swept;swept
enfler;to swell;swelled;swollen
nager;to swim;swam;swum
se balancer;to swing;swung;swung
prendre;to take;took;taken
enseigner;to teach;taught;taught
déchirer;to tear;tore;torn
dire, raconter;to tell;told;told
penser;to think;thought;thought
jeter;to throw;threw;thrown
enfoncer;to thrust;thrust;thrust
fouler aux pieds;to tread;trod;trodden
comprendre;to understand;understood;understood
(se) réveiller;to wake;woke;woken
porter (des vêtements);to wear;wore;worn
tisser;to weave;wove;woven
pleurer;to weep;wept;wept
gagner;to win;won;won
enrouler;to wind;wound;wound
tordre;to wring;wrung;wrung
écrire;to write;wrote;written
